demand_mw,year,month,day,hour,minute,dow,is_weekend,roll_30min,roll_7d,roll_14d,roll_30d
8503.48,2012,5,13,10,0,6,1,8503.48,8368.65,8344.205133928572,8173.505902777778
8499.56,2012,5,13,10,30,6,1,8499.56,8369.169047619047,8344.684166666668,8173.224604166667
8377.02,2012,5,13,11,0,6,1,8377.02,8369.59488095238,8344.996875,8172.862270833333
8219.75,2012,5,13,11,30,6,1,8219.75,8369.851011904762,8345.116889880952,8172.422840277778
8127.91,2012,5,13,12,0,6,1,8127.91,8370.156428571428,8345.150669642857,8171.981041666666
7996.34,2012,5,13,12,30,6,1,7996.34,8370.384910714285,8344.942901785715,8171.436715277777
7924.3,2012,5,13,13,0,6,1,7924.3,8370.588392857142,8344.699806547618,8170.8410555555565
7784.33,2012,5,13,13,30,6,1,7784.33,8370.591874999998,8344.341681547618,8170.171375000001
7704.83,2012,5,13,14,0,6,1,7704.83,8370.647023809524,8344.002291666668,8169.418736111112
7687.49,2012,5,13,14,30,6,1,7687.49,8370.704404761906,8343.697514880952,8168.698277777778
7702.74,2012,5,13,15,0,6,1,7702.74,8370.87193452381,8343.392395833334,8168.013826388889
7807.04,2012,5,13,15,30,6,1,7807.04,8371.182232142857,8343.20787202381,8167.362861111111
7970.26,2012,5,13,16,0,6,1,7970.26,8371.605982142859,8343.14174107143,8166.8225
8214.66,2012,5,13,16,30,6,1,8214.66,8372.189761904761,8343.317455357143,8166.445840277777
8504.81,2012,5,13,17,0,6,1,8504.81,8372.832767857142,8343.540267857143,8166.228423611112
8946.04,2012,5,13,17,30,6,1,8946.04,8373.604404761905,8343.883422619048,8166.265597222223
9584.26,2012,5,13,18,0,6,1,9584.26,8374.049583333332,8344.381577380953,8166.591958333333
9699.31,2012,5,13,18,30,6,1,9699.31,8374.475476190475,8344.786964285715,8166.895875
9605.77,2012,5,13,19,0,6,1,9605.77,8375.053601190475,8345.27712797619,8167.233402777778
9431.82,2012,5,13,19,30,6,1,9431.82,8375.9125,8345.886979166666,8167.678020833333
9197.11,2012,5,13,20,0,6,1,9197.11,8376.556785714285,8346.463199404761,8168.110972222222
9191.13,2012,5,13,20,30,6,1,9191.13,8377.447351190476,8347.21830357143,8168.669673611111
9069.26,2012,5,13,21,0,6,1,9069.26,8378.306309523809,8348.029404761905,8169.268013888888
8855.84,2012,5,13,21,30,6,1,8855.84,8379.229523809525,8348.910982142857,8169.834958333333
8608.53,2012,5,13,22,0,6,1,8608.53,8380.21589285714,8349.787857142857,8170.303909722222
8456.65,2012,5,13,22,30,6,1,8456.65,8380.916130952382,8350.576071428572,8170.578034722222
8189.82,2012,5,13,23,0,6,1,8189.82,8381.565297619047,8351.195401785713,8170.747458333333
8097.88,2012,5,13,23,30,6,1,8097.88,8382.130119047619,8351.80392857143,8170.862986111112
7893.81,2012,5,14,0,0,0,0,7893.81,8382.575595238095,8352.385982142858,8170.893590277778
7639.41,2012,5,14,0,30,0,0,7639.41,8382.929226190477,8352.880848214285,8170.845687499999
7471.77,2012,5,14,1,0,0,0,7471.77,8383.440238095238,8353.351279761906,8170.837847222222
7269.08,2012,5,14,1,30,0,0,7269.08,8383.700476190477,8353.71449404762,8170.816340277777
7136.2,2012,5,14,2,0,0,0,7136.2,8384.02619047619,8354.09869047619,8170.893659722223
6889.89,2012,5,14,2,30,0,0,6889.89,8384.53,8354.562797619048,8171.039166666666
6711.87,2012,5,14,3,0,0,0,6711.87,8385.049226190476,8355.004151785713,8171.241055555556
6575.26,2012,5,14,3,30,0,0,6575.26,8385.422886904762,8355.360148809523,8171.461777777777
6548.76,2012,5,14,4,0,0,0,6548.76,8385.905773809525,8355.809717261905,8171.726354166666
6583.48,2012,5,14,4,30,0,0,6583.48,8386.34949404762,8356.259270833334,8172.074562500001
6722.89,2012,5,14,5,0,0,0,6722.89,8386.917351190476,8356.704494047619,8172.508784722222
7070.63,2012,5,14,5,30,0,0,7070.63,8387.519732142859,8357.17206845238,8173.100361111111
7485.03,2012,5,14,6,0,0,0,7485.03,8388.07050595238,8357.538883928572,8173.924597222223
8336.53,2012,5,14,6,30,0,0,8336.53,8388.844761904762,8358.101294642858,8175.189458333333
9109.41,2012,5,14,7,0,0,0,9109.41,8389.882261904762,8358.822470238096,8176.840270833333
9605.7,2012,5,14,7,30,0,0,9605.7,8391.009702380954,8359.753958333333,8178.666208333333
10030.86,2012,5,14,8,0,0,0,10030.86,8392.136875,8360.833273809523,8180.5250069444455
10102.61,2012,5,14,8,30,0,0,10102.61,8393.089166666667,8361.78949404762,8182.211236111111
9929.25,2012,5,14,9,0,0,0,9929.25,8393.756875,8362.650044642858,8183.601381944444
9884.85,2012,5,14,9,30,0,0,9884.85,8394.13681547619,8363.446294642858,8184.7673125
9832.97,2012,5,14,10,0,0,0,9832.97,8394.350297619048,8364.211964285714,8185.860409722222
9707.12,2012,5,14,10,30,0,0,9707.12,8394.477202380953,8364.722113095238,8186.859916666666
9605.96,2012,5,14,11,0,0,0,9605.96,8394.535833333333,8365.192827380952,8187.815625
9472.16,2012,5,14,11,30,0,0,9472.16,8394.397083333333,8365.714270833334,8188.735770833335
9389.59,2012,5,14,12,0,0,0,9389.59,8394.157589285714,8366.031101190476,8189.649701388889
9288.13,2012,5,14,12,30,0,0,9288.13,8393.859315476191,8366.313586309523,8190.508972222222
